Data,CAD,LC,Agua Inicial,ETC,Precipitacao,Irrigacao,Agua Final,Excesso
45300.000000,96,48,999.3,1.4,24.6,12,1034.5,986.5
45301.000000,96,48,1034.5,2,10.6,5,1048.1,1000.1
45302.000000,96,48,1048.1,3.2,4.8,10,1059.7,1011.7
45303.000000,96,48,1059.7,2.8,5.5,12,1074.4,1026.4
45304.000000,96,48,1074.4,1.8,14.6,3,1090.2,1042.2
45305.000000,96,48,1090.2,3,1,0,1088.2,1040.2
45306.000000,96,48,1088.2,1.8,18.4,6,1110.8,1062.8
45307.000000,96,48,1110.8,2.3,4.9,8,1121.4,1073.4
45308.000000,96,48,1121.4,2.5,0,0,1118.9,1070.9
45309.000000,96,48,1118.9,3.1,1.6,12,1129.4,1081.4
45310.000000,96,48,1129.4,3.2,0.3,3,1129.5,1081.5
45311.000000,96,48,1129.5,2.9,0,0,1126.6,1078.6
45312.000000,96,48,1126.6,3.4,0.1,4,1127.3,1079.3
45313.000000,96,48,1127.3,1.9,2.4,10,1137.8,1089.8
45314.000000,96,48,1137.8,1.4,2.6,5,1144,1096
45315.000000,64,32,1144,1.3,0.6,12,1155.3,1123.3
45316.000000,64,32,1155.3,1.5,18.6,5,1177.4,1145.4
45317.000000,64,32,1177.4,1.1,1.4,0,1177.7,1145.7
45318.000000,64,32,1177.7,1.8,24,0,1199.9,1167.9
45319.000000,64,32,1199.9,1.5,4.8,0,1203.2,1171.2
